date,value
2002-07-01,958.3259999999999
2002-10-01,958.4490000000001
2003-01-01,958.974
2003-04-01,959.8560000000001
2003-07-01,961.506
2003-10-01,962.66
2004-01-01,963.2250000000001
2004-04-01,963.997
2004-07-01,964.9409999999999
2004-10-01,965.9560000000001
2005-01-01,967.0590000000001
2005-04-01,967.5509999999999
2005-07-01,968.331
2005-10-01,968.885
2006-01-01,970.2220000000001
2006-04-01,970.48
2006-07-01,970.6300000000001
2006-10-01,971.486
2007-01-01,971.786
2007-04-01,972.396
2007-07-01,972.9699999999999
2007-10-01,973.597
2008-01-01,973.1690000000001
2008-04-01,973.7629999999999
2008-07-01,973.236
2008-10-01,971.0229999999999
2009-01-01,969.881
2009-04-01,969.703
2009-07-01,970.0530000000001
2009-10-01,971.128
2010-01-01,971.612
2010-04-01,972.5749999999999
2010-07-01,973.3430000000001
2010-10-01,973.866
2011-01-01,973.629
2011-04-01,974.3029999999999
2011-07-01,974.2810000000001
2011-10-01,975.398
2012-01-01,976.2330000000001
2012-04-01,976.6780000000001
2012-07-01,976.8219999999999
2012-10-01,976.938
2013-01-01,977.919
2013-04-01,978.187
2013-07-01,979.0340000000001
2013-10-01,979.902
2014-01-01,979.557
2014-04-01,980.84
2014-07-01,982.048
2014-10-01,982.5530000000001
2015-01-01,983.4490000000001
2015-04-01,984.0669999999999
2015-07-01,984.4659999999999
2015-10-01,984.6500000000001
2016-01-01,985.2280000000001
2016-04-01,985.549
2016-07-01,986.256
2016-10-01,986.8090000000001
2017-01-01,987.294
2017-04-01,987.853
2017-07-01,988.638
2017-10-01,989.7589999999999
2018-01-01,990.569
2018-04-01,991.0980000000001
2018-07-01,991.7199999999999
2018-10-01,991.8620000000001
2019-01-01,992.403
2019-04-01,993.23
2019-07-01,994.355
2019-10-01,994.9949999999999
2020-01-01,993.6220000000001
2020-04-01,985.403
2020-07-01,992.8750000000001
2020-10-01,993.905
2021-01-01,995.1829999999999
2021-04-01,996.691
2021-07-01,997.5020000000001
2021-10-01,999.185
2022-01-01,998.686
2022-04-01,998.5440000000001
2022-07-01,999.201
2022-10-01,999.8340000000001
2023-01-01,1000.389
2023-04-01,1000.8990000000001
2023-07-01,1002.0899999999999
