date,value
2013-07-01,1.64256
2013-10-01,1.46965
2014-01-01,1.8326
2014-04-01,1.78718
2014-07-01,1.08985
2014-10-01,-0.53016
2015-01-01,-1.79707
2015-04-01,1.99031
2015-07-01,1.0386
2015-10-01,-0.30761
2016-01-01,0.19689
2016-04-01,2.53048
2016-07-01,1.37908
2016-10-01,1.82737
2017-01-01,2.32579
2017-04-01,0.80302
2017-07-01,1.40941
2017-10-01,2.39102
2018-01-01,2.78736
2018-04-01,2.09355
2018-07-01,1.34009
2018-10-01,1.51492
2019-01-01,0.91476
2019-04-01,2.11344
2019-07-01,0.97346
2019-10-01,1.56339
2020-01-01,1.28923
2020-04-01,-1.74299
2020-07-01,3.28384
2020-10-01,1.99466
2021-01-01,4.66217
2021-04-01,6.07128
2021-07-01,5.49586
2021-10-01,6.54208
2022-01-01,7.37813
2022-04-01,6.9366
2022-07-01,4.56987
2022-10-01,4.06126
2023-01-01,4.08079
2023-04-01,2.45663
2023-07-01,2.88187
